nozzleTemp,bedTemp,xPos,yPos,zPos,fanSpeed,printerSpeed,createdAt
98,52,65,7,92,70,32,2024-04-26T08:57:39.392Z
63,53,77,90,80,53,81,2024-04-26T08:57:41.836Z
71,77,53,58,93,26,22,2024-04-26T08:57:44.010Z
57,54,47,3,70,43,46,2024-04-26T08:57:46.189Z
132,185,82,82,49,55,43,2024-04-29T07:27:10.120Z
123,90,14,26,15,4,54,2024-04-29T07:27:12.242Z
26,131,20,75,88,57,23,2024-04-29T07:27:14.333Z
46,187,25,72,76,1,55,2024-04-29T07:27:16.461Z
71,136,12,94,59,16,41,2024-04-29T07:27:18.559Z
198,235,94,63,42,70,34,2024-04-29T07:27:20.666Z
210,111,94,73,54,40,79,2024-04-29T07:27:22.765Z
138,130,71,13,67,13,41,2024-04-29T07:27:24.880Z
164,207,43,21,8,93,99,2024-04-29T07:27:26.988Z
225,132,61,46,48,68,8,2024-04-29T07:27:29.092Z
133,65,28,80,21,72,17,2024-04-29T07:27:31.184Z
8,189,60,56,17,4,21,2024-04-29T07:27:33.272Z
39,58,19,78,95,11,34,2024-04-29T07:27:35.354Z
206,226,93,1,39,97,94,2024-04-29T07:27:37.448Z
42,116,64,61,95,12,89,2024-04-29T07:27:39.537Z
227,170,94,72,79,46,97,2024-04-29T07:27:41.639Z
242,70,53,41,86,62,63,2024-04-29T07:27:43.746Z
52,126,10,88,40,75,44,2024-04-29T07:27:45.841Z
77,64,71,31,45,1,88,2024-04-29T07:27:47.943Z
173,58,57,86,88,35,87,2024-04-29T07:27:50.050Z
198,127,95,5,46,84,35,2024-04-29T07:27:52.161Z
81,221,96,85,65,0,79,2024-04-29T07:27:54.287Z
61,162,96,71,10,58,88,2024-04-29T07:27:56.403Z
244,119,50,31,66,81,84,2024-04-29T07:27:58.516Z
79,223,66,80,68,61,42,2024-04-29T07:28:00.615Z
171,82,87,35,82,76,96,2024-04-29T07:28:02.703Z
67,54,32,47,35,30,1,2024-04-29T07:28:04.796Z
62,175,37,31,17,17,21,2024-04-29T07:28:06.920Z
168,220,37,20,42,31,39,2024-04-29T07:28:09.016Z
19,187,89,71,13,94,86,2024-04-29T07:28:11.124Z
178,174,87,11,97,53,78,2024-04-29T07:28:13.238Z
132,210,98,84,25,8,44,2024-04-29T07:28:15.362Z
249,106,12,71,100,75,22,2024-04-29T07:28:17.478Z
52,197,86,1,12,64,85,2024-04-29T07:28:19.605Z
72,174,25,5,85,60,20,2024-04-29T07:28:21.715Z
183,163,73,12,56,4,36,2024-04-29T07:28:23.809Z
129,217,82,22,24,80,48,2024-04-29T07:28:25.941Z
0,247,86,28,73,88,61,2024-04-29T07:28:28.054Z
178,108,75,88,33,54,64,2024-04-29T07:28:30.155Z
158,100,37,60,44,19,49,2024-04-29T07:28:32.248Z
49,204,44,50,25,57,99,2024-04-29T07:28:34.388Z
15,155,75,82,2,49,89,2024-04-29T07:28:36.496Z
169,168,77,31,65,34,32,2024-04-29T07:28:38.598Z
30,127,25,74,77,83,87,2024-04-29T07:28:40.689Z
48,129,27,44,63,61,15,2024-04-29T07:28:42.795Z
249,79,70,7,21,24,45,2024-04-29T07:28:44.934Z
47,166,77,75,78,100,20,2024-04-29T07:28:47.022Z
33,218,91,98,52,72,43,2024-04-29T07:28:49.116Z
201,226,10,94,9,5,82,2024-04-29T07:28:51.227Z
23,76,27,49,3,72,35,2024-04-29T07:28:53.328Z
242,159,80,26,0,6,43,2024-04-29T07:28:55.442Z
72,195,67,19,77,19,35,2024-04-29T07:28:57.560Z
136,59,99,62,69,84,66,2024-04-29T07:28:59.657Z
232,115,34,8,68,77,65,2024-04-29T07:29:01.745Z
150,87,61,1,84,28,83,2024-04-29T07:29:03.839Z
147,68,2,11,85,40,5,2024-04-29T07:29:05.935Z
193,229,68,64,60,65,40,2024-04-29T07:29:08.040Z
150,199,37,33,39,18,70,2024-04-29T07:29:10.135Z
97,177,67,57,21,85,10,2024-04-29T07:29:12.278Z
165,165,28,79,90,62,11,2024-04-29T07:29:14.375Z
224,107,40,63,37,40,52,2024-04-29T07:29:16.473Z
16,121,92,24,77,35,59,2024-04-29T07:29:18.567Z
47,197,17,36,35,8,51,2024-04-29T07:29:20.661Z
106,204,4,36,82,34,9,2024-04-29T07:29:22.752Z
240,242,67,4,56,24,1,2024-04-29T07:29:24.854Z
248,190,39,4,69,70,51,2024-04-29T07:29:26.958Z
144,149,78,82,55,1,8,2024-04-29T07:29:29.058Z
186,137,50,30,65,56,46,2024-04-29T07:29:31.163Z
62,225,53,73,66,37,44,2024-04-29T07:29:33.261Z
219,155,15,54,87,32,11,2024-04-29T07:29:35.390Z
35,159,30,81,78,13,64,2024-04-29T07:29:37.476Z
65,188,8,58,71,81,19,2024-04-29T07:29:39.581Z
9,105,28,9,14,75,39,2024-04-29T07:29:41.674Z
94,190,27,83,93,53,58,2024-04-29T07:29:43.770Z
204,143,24,91,36,42,11,2024-04-29T07:29:45.880Z
213,190,85,94,65,48,36,2024-04-29T07:29:47.981Z
44,68,46,84,29,9,3,2024-04-29T07:29:50.073Z
76,200,34,62,20,86,93,2024-04-29T07:29:52.177Z
88,203,49,71,32,16,18,2024-04-29T07:29:54.286Z
209,152,58,75,33,46,59,2024-04-29T07:29:56.378Z
109,132,9,70,54,89,19,2024-04-29T07:29:58.482Z
33,141,24,19,31,90,60,2024-04-29T07:30:00.593Z
156,188,1,52,34,69,57,2024-04-29T07:30:02.698Z
44,220,21,70,86,39,30,2024-04-29T07:30:04.805Z
179,62,11,75,23,99,82,2024-04-29T07:30:06.892Z
29,105,39,36,55,96,99,2024-04-29T07:30:08.991Z
3,145,60,18,100,9,54,2024-04-29T07:30:11.083Z
28,186,5,7,6,9,27,2024-04-29T07:30:13.180Z
221,105,67,11,59,6,18,2024-04-29T07:30:15.272Z
242,167,72,8,37,14,53,2024-04-29T07:30:17.377Z
141,207,100,72,70,81,94,2024-04-29T07:30:19.465Z
102,162,17,85,64,14,35,2024-04-29T07:30:21.558Z
227,246,36,80,24,61,32,2024-04-29T07:30:23.655Z
192,237,46,25,34,7,62,2024-04-29T07:30:25.758Z
139,198,1,47,10,33,42,2024-04-29T07:30:27.853Z
73,79,83,93,6,30,60,2024-04-29T07:30:29.949Z
102,177,21,10,62,92,95,2024-04-29T08:53:05.848Z
203,160,45,10,99,32,72,2024-04-29T08:53:08.000Z
115,159,77,73,13,84,100,2024-04-29T08:53:10.122Z
90,117,34,68,38,33,61,2024-04-29T08:53:12.241Z
173,88,16,78,91,88,32,2024-04-29T08:53:14.347Z
173,93,29,6,32,75,15,2024-04-29T08:53:16.492Z
168,219,4,93,62,77,67,2024-04-29T08:53:18.605Z
55,92,37,11,68,34,41,2024-04-29T08:53:20.716Z
